ESG REPORT ANALYSIS: apple
============================================================

# ESG Analysis: apple

## Pages 1-50

# Analysis of Apple's 2025 Environmental Progress Report (Pages 1-50)

---

## 1. QUANTIFIABLE DATA

### Greenhouse Gas Emissions

| Metric | Value + Unit | Year/Period | Context |
| Apple's emissions (incl. RE) | FY2020 | 0 | MT CO2e |
| Percent renewable | FY2020 | 100 | % |
| Total energy use | FY2021 | 384,727,076 | kWh |
| Renewable energy | FY2021 | 384,727,076 | kWh |
| Default utility emissions | FY2021 | 146,780 | MT CO2e |
| Apple's emissions (incl. RE) | FY2021 | 0 | MT CO2e |
| Percent renewable | FY2021 | 100 | % |
| Total energy use | FY2022 | 487,921,930 | kWh |
| Renewable energy | FY2022 | 487,921,930 | kWh |
| Default utility emissions | FY2022 | 182,700 | MT CO2e |
| Apple's emissions (incl. RE) | FY2022 | 0 | MT CO2e |
| Percent renewable | FY2022 | 100 | % |
| Total energy use | FY2023 | 483,299,062 | kWh |
| Renewable energy | FY2023 | 483,299,062 | kWh |
| Default utility emissions | FY2023 | 186,141 | MT CO2e |
| Apple's emissions (incl. RE) | FY2023 | 0 | MT CO2e |
| Percent renewable | FY2023 | 100 | % |
| Total energy use | FY2024 | 527,655,650 | kWh |
| Renewable energy | FY2024 | 527,655,650 | kWh |
| Default utility emissions | FY2024 | 182,944 | MT CO2e |
| Apple's emissions (incl. RE) | FY2024 | 0 | MT CO2e |
| Percent renewable | FY2024 | 100 | % |

### Apex-Verified Corporate Environmental Data (FY2024)

| Metric | Value | Unit | Boundary |
|--------|-------|------|----------|
| Natural Gas Consumption | 1,048,000 | Metric million BTU | Worldwide occupied properties |
| Electricity Consumption | 3,800 | Million kWh (mkWh) | Worldwide occupied properties |
| Renewable Energy | 3,800 | Million kWh (mkWh) | Worldwide / invoiced + self-generated |
| Scope 1 GHG Emissions | 55,200 | tCO2e | Worldwide occupied properties |
| Scope 2 GHG Emissions (Location-Based) | 1,224,500 | tCO2e | Worldwide occupied properties |
| Scope 2 GHG Emissions (Market-Based) | 3,300 | tCO2e | Worldwide occupied properties |
| Scope 3 T&D Losses – Electricity (Market-Based) | 0 | tCO2e | Worldwide occupied properties |
| Scope 3 – Upstream Fuel & Energy-Related | 166,400 | tCO2e | Worldwide occupied properties |
| Scope 3 – Business Travel | 284,500 | tCO2e | Worldwide occupied properties |
| Scope 3 – Employee Commute | 152,700 | tCO2e | Worldwide occupied properties |
| Scope 3 – Work from Home (Location-Based) | 19,800 | tCO2e | Worldwide occupied properties |
| Scope 3 – Work from Home (Market-Based) | 4,700 | tCO2e | Worldwide occupied properties |
| Scope 3 – Other Cloud Services (Location-Based) | 953,200 | tCO2e | Worldwide occupied properties |
| Scope 3 – Other Cloud Services (Market-Based) | 0 | tCO2e | Worldwide occupied properties |
| Water Withdrawal | 1,800 | Million gallons | Worldwide occupied properties |
| Water Discharge | 900 | Million gallons | Worldwide occupied properties |
| Trash Disposed in Landfill | 18,800 | Metric tonnes | Worldwide occupied properties |
| Hazardous Waste (Regulated) | 1,200 | Metric tonnes | Worldwide occupied properties |
| Recycled Material | 36,500 | Metric tonnes | Worldwide occupied properties |
| Composted Material | 4,100 | Metric tonnes | Worldwide occupied properties |
| Waste to Energy | 1,000 | Metric tonnes | Worldwide occupied properties |
| C&D Landfilled | 5,200 | Metric tonnes | Worldwide occupied properties |
| C&D Recycled | 22,500 | Metric tonnes | Worldwide occupied properties |
| Paper Used | 1,700 | Metric tonnes | Worldwide occupied properties |
| Product End Use Avoided Emissions | 312,100 | tCO2e | Worldwide occupied properties |

### Comprehensive Carbon Footprint (Market-Based, FY2024)

| Metric | Value | Unit |
|--------|-------|------|
| Corporate GHG Emissions (Market-Based) | 666,800 | tCO2e |
| Product Use | 4,367,900 | tCO2e |
| Manufacturing | 8,204,100 | tCO2e |
| Product Transportation | 1,950,000 | tCO2e |
| Recycling | 70,000 | tCO2e |
| Comprehensive Carbon Footprint | 15,258,000 | tCO2e |
| Carbon Removals | 737,100 | tCO2e |
| Net Footprint | 14,500,000 | tCO2e |

### Fraunhofer-Verified Product Scope 3 Data (FY2024, Location-Based)

| Metric | Value | Unit |
|--------|-------|------|
| Manufacturing (base, pre-reductions) | 29.03 | MMT CO2e |
| Transportation | 1.95 | MMT CO2e |
| Product Use (base, pre-reductions) | 4.68 | MMT CO2e |
| Recycling | 0.07 | MMT CO2e |
| Total base product footprint | 35.73 | MMT CO2e |
| LCA studies reviewed in FY2024 | 25 | Product LCA studies |
| Coverage of reviewed LCAs of total Scope 3 product footprint | 77.6% | Of total Scope 3 carbon footprint |

### Supplier Clean Energy Program (FY2024, Apex-Verified)

| Metric | Value | Unit |
|--------|-------|------|
| Clean Energy Use | 31.3 | Million MWh |
| Avoided GHG Emissions | 21.8 | Million MT CO2e |
| Operational Capacity | 17,855 | MWac |

### Supplier Energy Efficiency Program (FY2024, Apex-Verified)

| Metric | Value | Unit |
|--------|-------|------|
| Avoided GHG Emissions | 1.97 | Million MT CO2e |

### Supplier F-GHG Emissions (FY2024, Trinity-Verified)

| Metric | Value | Unit |
|--------|-------|------|
| F-GHG Emissions Reduced from Abatement | 8,407,304 | MT CO2e |

### Packaging Fiber & Plastic Footprint (FY2024, Fraunhofer-Verified)

| Metric | Value | Unit |
|--------|-------|------|
| Plastic (w/o adhesives) – Total | 3,070 | Metric tonnes |
| Plastic (w/o adhesives) – Virgin | 3,070 | Metric tonnes |
| Plastic (w/o adhesives) – Recycled | 0 | Metric tonnes |
| Fiber – Total | 238,730 | Metric tonnes |
| Fiber – Virgin | 94,060 | Metric tonnes |
| Fiber – Recycled | 144,660 | Metric tonnes |

### LCA Methodology Assumptions

| Metric | Value | Context |
|--------|-------|---------|
| iPhone/Apple Watch assumed use life | 3 years | For energy use modeling in LCA |
| iPad/Mac/other device assumed use life | 4 years | Including Apple Vision Pro and Apple TV |

### ISO 14001 Certification

| Metric | Value | Context |
|--------|-------|---------|
| ISO 14001 certification coverage – Cork, Ireland manufacturing | 100% | Apple Operations International Limited |
| ISO 14001 original registration date | 20 March 2001 | NSAI certification |
| ISO 14001 current certificate validity | 11 July 2024 to 10 July 2027 | NSAI registration IE-14.0202 
